ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
26932,1989,231,Spektakle fabularne TV,"Złoczyńca. Tł. Jerzy Wyszomirski. Drogi pies. Tł. Jan Brzechwa, Janina Brzechwa. Narzeczony i ojczulek. Tł. Jerzy Koenig",,,,,,"Adapt. pt. ""Trzy opowiadania"". Reż. Georgij Towstonogow. I, 11 II 1989, 49'. Prem. 1969",
26933,1989,231,Spektakle fabularne TV,Iluzja,,,,,,"Tł. Stanisław Hebanowski. Reż. Krzysztof Gordon. I, 30 I 1989, 85'",
26934,1989,231,Spektakle fabularne TV,"Piątek, dzień miłości",,,,,,"Tł. Zofia Klimaszewska, xel. Holvoet. Reż. Magdalena Łazarkiewicz. II, 2 XI 1989, 96'",
26935,1989,231,Spektakle fabularne TV,Krzesło w szczerym polu,,,,,,"Tł. Jerzy Pański. Adapt. Irena Strzemińska. Reż. Janusz Majewski. I, 10 VI 1989, 68'. Prem. 1970",
26936,1989,231,Spektakle fabularne TV,Raz swawolny Tadeuszek,,,,,,"Reż. Aleksander Czekanowski. I, 1 V 1989, 62'. Prem. 1986",
26938,1989,231,Spektakle fabularne TV,Bruno - autobiografia pośmiertna Brunona S. nauczyciela rysunków z miasta Drohobycza,,,,,,"Reż. aut. II, 7 IX 1989, 73'",
26937,1989,231,Spektakle fabularne TV,Dzienniki. Spotkanie pierwsze 1914-1925,,,,,,"Adapt. Tadeusz Drewnowski, Zofia Kucówna. Reż. Anna Minkiewicz. I, 11 XI 1989, 49'. Prem. 1987",
26939,1989,231,Spektakle fabularne TV,Smak miodu,,,,,,"Tł. Wacława Komarnicka, Krytyna Tarnowska. Reż. Jacek Witkowski. I, 12 VI 1989, 95'",
26940,1989,231,Spektakle fabularne TV,Bracia Karamazow,,,,,,"Tł. Aleksander Wat. Adapt. i reż. Jerzy Krasowski. I, 8 IV 1989, 151'. Prem. 1969",
26941,1989,231,Spektakle fabularne TV,Zbrodnia i kara,,,,,,"Tł. Czesław Jastrzębiec-Kozłowski. Adapt. pt. ""Raskolnikow"" i reż.: Marek Gaj. II, 14 XII 1989, 58'",
26942,1989,231,Spektakle fabularne TV,Przygoda Pana Trapsa,,,,,,"Tł. i adapt. Barbara Witek-Swinarska. Reż. Konrad Swinarski. I, 17 VI 1989, 77'. Prem. 1965",
26943,1989,231,Spektakle fabularne TV,Sędzia i jego kat,,,,,,"Tł. Teresa Jętkiewicz. Reż. Wojciech Adamczyk. I, 2 X 1989, 110'",
26944,1989,231,Spektakle fabularne TV,"O wpół do jedenastej wieczór, latem",,,,,,"Tł. Anna Lisowska, J. Lisowski. Adapt. i reż. Daniel Bargiełowski. I, 7 X 1989, 86'. Prem. 197erzy",
