ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,program_tv,emisje
227743,1993,231,Spektakle fabularne TV,Desperaci,,,,,,"Tł. Kazimierz Piotrowski. Cz. 1-3. Reż. Anna Minkiewicz. II, 13 VIII 1993, 57'; 20 VIII 1993, 61'; 27 VIII 1993, 66'",,Desperaci,,II,"[{'data': '13 VIII 1993', 'czas_min': 57}, {'data': '20 VIII 1993', 'czas_min': 61}, {'data': '27 VIII 1993', 'czas_min': 66}]"
227747,1993,231,Spektakle fabularne TV,Odwet,,,,,,"Tł. Krzysztof Nowicki. Reż. Bogdan Augustyniak. II, 10 XII 1993, 99'",,Odwet,,II,"[{'data': '10 XII 1993', 'czas_min': 99}]"
227748,1993,231,Spektakle fabularne TV,Zjazd rodzinny,,,,,,"Tł. Olgierd A. Wojtasiewicz. Reż. Andrzej Maj. II, 24 III 1993, 78'",,Zjazd rodzinny,,II,"[{'data': '24 III 1993', 'czas_min': 78}]"
227749,1993,231,Spektakle fabularne TV,Samobójca,,,,,,"Tł. Maryla Masłowska. Reż. Kazimierz Kutz. I, 8 VI 1993, 149'",,Samobójca,,I,"[{'data': '8 VI 1993', 'czas_min': 149}]"
227750,1993,231,Spektakle fabularne TV,Burzliwe życie Lejzorka,,,,,,"Tł. Maria Popowska. Reż. Maciej Wojtyszko, Waldemar Śmigasiewicz.  I, 25 V 1993, 125'",,Burzliwe życie Lejzorka,,I,"[{'data': '25 V 1993', 'czas_min': 125}]"
227795,1993,231,Spektakle fabularne TV,Łóżka,,,,,,"Tł. Andrzej Dąbrówka. Reż. Paweł Trzaska. I, 6 III 1993, 80'",,Łóżka,,I,"[{'data': '6 III 1993', 'czas_min': 80}]"
227796,1993,231,Spektakle fabularne TV,Oficyna,,,,,,"Adapt. Elżbieta Zaleska. Reż. Barbara Borys-Damięcka. I, 25 IV 1993, 84'",,Oficyna,,I,"[{'data': '25 IV 1993', 'czas_min': 84}]"
227797,1993,231,Spektakle fabularne TV,Gorzkie łzy Petry von Kant,,,,,,"Tł. Sława Lisiecka. Reż. Piotr Chołodziński. I, 26 IV 1993, 66'; [powtórna emisja:] 21 VIII 1993",,Gorzkie łzy Petry von Kant,,I,"[{'data': '26 IV 1993', 'czas_min': 66}, {'data': '21 VIII 1993', 'czas_min': None}]"
227799,1993,231,Spektakle fabularne TV,"Pomyłka, proszę się wyłączyć",,,,,,"Tł. Mira Michałowska. Reż. Jerzy Gruza. II, 4 VI 1993, 41'",,"Pomyłka, proszę się wyłączyć",,II,"[{'data': '4 VI 1993', 'czas_min': 41}]"
227801,1993,231,Spektakle fabularne TV,Pan Jowialski,,,,,,"Reż. Tadeusz Bradecki. I, 5 VI 1993, 135'",,Pan Jowialski,,I,"[{'data': '5 VI 1993', 'czas_min': 135}]"
227802,1993,231,Spektakle fabularne TV,Zemsta,,,,,,"Reż. Jan Świderski. II, 30 VI 1993, 100'",,Zemsta,,II,"[{'data': '30 VI 1993', 'czas_min': 100}]"
227804,1993,231,Spektakle fabularne TV,Pan Geldhab,,,,,,"Reż. Andrzej Łapicki. I, 21 VI 1993, 80'; [powtórna emisja:] 6 VII 1993",,Pan Geldhab,,I,"[{'data': '21 VI 1993', 'czas_min': 80}, {'data': '6 VII 1993', 'czas_min': None}]"
227806,1993,231,Spektakle fabularne TV,Śluby panieńskie,,,,,,"Reż. Andrzej Łapicki. II, 7 VII 1993, 90' + 45' [emisja w dwóch cz.]",,Śluby panieńskie,,II,"[{'data': '7 VII 1993', 'czas_min': 90}]"
227807,1993,231,Spektakle fabularne TV,"Gwałtu, co się dzieje",,,,,,"Reż. Olga Lipińska. I, 10 VII 1993, 80'",,"Gwałtu, co się dzieje",,I,"[{'data': '10 VII 1993', 'czas_min': 80}]"
227808,1993,231,Spektakle fabularne TV,Damy i huzary,,,,,,"Reż. Olga Lipińska. II, 14 VII 1993, 85'",,Damy i huzary,,II,"[{'data': '14 VII 1993', 'czas_min': 85}]"
227810,1993,231,Spektakle fabularne TV,Mąż i żona,,,,,,"Reż. Jan Świderski. II, 28 VII 1993, 25'",,Mąż i żona,,II,"[{'data': '28 VII 1993', 'czas_min': 25}]"
227812,1993,231,Spektakle fabularne TV,Rewolwer,,,,,,"Reż. Jan Świderski. II, 4 VIII 1993, 90'",,Rewolwer,,II,"[{'data': '4 VIII 1993', 'czas_min': 90}]"
227813,1993,231,Spektakle fabularne TV,Trzy po trzy,,,,,,"Reż. Adam Hanuszkiewicz. II, 11 VIII 1993, 90'",,Trzy po trzy,,II,"[{'data': '11 VIII 1993', 'czas_min': 90}]"
227815,1993,231,Spektakle fabularne TV,Węzeł,,,,,,"Reż. Kazimierz Kutz. I, 17 VIII 1993, 80'",,Węzeł,,I,"[{'data': '17 VIII 1993', 'czas_min': 80}]"
