"ZA_ZAPIS_ID","ZA_RO_ROK","ZA_DZ_DZIAL1_ID","DZ_NAZWA","ZA_RZ_RODZAJ1_ID","RZ_NAZWA","ZA_TYTUL","ZA_TYTUL_CALOSCI","ZA_OPIS_CALOSCI","ZA_TYTUL_ORYGINALU","ZA_TE_TEATR_ID","TE_NAZWA","ZA_OPIS_WSPOLTWORCOW","ZA_JEZYK_ORYGINALU","ZA_TYTUL_ADAPT_DZIELA","ZA_NAZWA_ADAPT_DZIELA","ZA_OPIS_ADAPT_DZIELA","ZA_ADNOTACJE"
225003,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Motyle są wolne. Prem. 1993,,,,839,Teatr im. W. Bogusławskiego,Tł. Anna Frackiewicz. Reż. Zbigniew Lesień,,,,,
225010,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,"Septet, czyli... Prem. 1993",,,,839,Teatr im. W. Bogusławskiego,Reż. Wojciech Ziemiański,,,,,
225014,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Śluby panieńskie czyli Magnetyzm serca. Prem. 1993,,,,840,Teatr Śląski im. S. Wyspiańskiego,Reż. Anna Polony,,,,,
225016,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Toast. Prem. 1993,,,,840,Teatr Śląski im. S. Wyspiańskiego,Reż. Bogdan Tosza,,,,,
225022,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Impas cnoty czyli siadanie na jeża. Prem. 1993,,,,840,Teatr Śląski im. S. Wyspiańskiego,Sc. i reż. Piotr Szmitke,,,,,
225024,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,O medyku Feliksie. Prem. 1993,,,,786,"Śląski Teatr Lalki i Aktora ""Ateneum""",Reż. Jerzy Zitzman,,,,Wg Gustawa Morcinka,
225039,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Nienasycenie. Prem. 1992,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Reż. Andrzej Maria Marczewski,,,,,
225052,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Tymoteusz i psiuńcio. Prem. 1993,,,,786,"Śląski Teatr Lalki i Aktora ""Ateneum""",Reż. Zdzisław Rej,,,,,
225057,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Wielka nowina. Prem. 1993,,,,786,"Śląski Teatr Lalki i Aktora ""Ateneum""",Reż. Zbigniew Poprawski,,,,,
225123,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Kubuś i jego pan. Prem. 1993,,,,843,Teatr im. S. Żeromskiego,Tł. Adam Mielczarek. Reż. Piotr Bogusław Jędrzejczak,,,,,
225124,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Parady. Prem. 1993,,,,843,Teatr im. S. Żeromskiego,Reż. Piotr Szczerski,,,,Wg Jana Potockiego,
225126,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Baśń o zaklętym kaczorze. Prem. 1993,,,,844,"Teatr Lalki i Aktora ""Kubuś""",Reż. Irena Dragan,,,,,
225129,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Moralność pani Dulskiej. Prem. 1993,,,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Reż. Krzysztof Ziembiński,,,,,
225130,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Sługa dwóch panów. Prem. 1993,,,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Tł. Zofia Jachimecka. Reż. Józef Skwark,,,,,
225132,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Aktor. Prem. 1993,,,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Reż. Adam Orzechowski,,,,,
225133,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Świętoszek. Prem. 1993,,,,57,"Teatr ""Bagatela"" im. T. Boya-Żeleńskiego",Tł. Tadeusz Boy-Żeleński. Reż. Jerzy Zoń,,,,,
225135,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,"Hej, kolęda..., czyli stół polski. Prem. 1993",,,,57,"Teatr ""Bagatela"" im. T. Boya-Żeleńskiego",Reż. Jacek Chmielnik,,,,,
225137,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Sprawa podejrzana... czyli siedmiu ludzi z szafą. Prem. 1993,,,,846,Teatr Ludowy,Sc. i reż. Monika Rasiewicz,,,,,
