ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,uwagi
165821,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Nowe przygody Klipa i Klapa. Prem. 1992,,786,"Śląski Teatr Lalki i Aktora ""Ateneum""",Reż. aut.,,,,Nowe przygody Klipa i Klapa,1992.0,
165822,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Lalkarz. Prem. 1992,,786,"Śląski Teatr Lalki i Aktora ""Ateneum""",Tł. Henryk Jurkowski. Reż. Janina Keszkowska,,,,Lalkarz,1992.0,
165864,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Seans. Prem. 1992,,843,Teatr im. S. Żeromskiego,Reż. Piotr Szczerski,,,,Seans,1992.0,
165865,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Szmaragd. Prem. 1992,,843,Teatr im. S. Żeromskiego,Tł. Anna Kołyszko. Adapt. Jerzy Sitarz. Reż. Maria Wójcikowska,,,,Szmaragd,1992.0,
165867,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Stworzenie słońca. Prem. 1992,,844,"Teatr Lalki i Aktora ""Kubuś""",Tł. i reż. Irena Dragan,,,,Stworzenie słońca,1992.0,
165869,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Mały tygrys Pietrek. Prem. 1992,,844,"Teatr Lalki i Aktora ""Kubuś""",Reż. Leszek Śmigielski,,,,Mały tygrys Pietrek,1992.0,
165875,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Balladyna. Prem. 1992,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Reż. Ryszard Major,,,,Balladyna,1992.0,
165876,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Dopóki będzie clown. Wieczór poezji francuskiej. Prem. 1992,,57,"Teatr ""Bagatela"" im. T. Boya-Żeleńskiego",Sc. Janusz Butrym i Krzysztof Bochenek. Tł. Jerzy Menel. Reż. Stanisław Nosowicz,,,,Dopóki będzie clown. Wieczór poezji francuskiej,1992.0,
165879,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Trędowata. Prem. 1992,,846,Teatr Ludowy,Adapt. Joanna Olczak-Ronikier. Reż. Włodzimierz Nurkowski,,,,Trędowata,1992.0,
165880,1992,449,"Teatry od 1945 r. (omówienia, repertuar)","Pastorałka. Hej koleda, kolęda! Prem. 1992",,846,Teatr Ludowy,Sc. i reż. Monika Rasiewicz,,"Wg ""Pastorałek"" Tytusa Czyżewskiego",,"Pastorałka. Hej koleda, kolęda! Prem. 1992",1992.0,
